Event Name,Edition,Start Date,End Date,Location,URL
Clojure eXchange,2015,2015-12-03,2015-12-04,"London, UK",https://skillsmatter.com/conferences/6861-clojure-exchange-2015
Clojure Remote,2016,2016-02-11,2016-02-12,Online,http://clojureremote.com/
:clojureD,2016,2016-02-20,2016-02-21,"Berlin, Germany",http://www.clojured.de/
